pais,estado,capital,geopunto
México,Aguascalientes,Aguascalientes,"21.880628,-102.2973591"
México,Baja California,Mexicali,"32.6340187,-115.4794345"
México,Baja California Sur,La Paz,"24.1367835,-110.3058473"
México,Campeche,Campeche,"19.8461821,-90.5428561"
México,Chiapas,Tuxtla Gutiérrez,"16.7545702,-93.1217211"
México,Chihuahua,Chihuahua,"28.8385917,-105.9103439"
México,Coahuila de Zaragoza,Saltillo,"25.4303391,-101.0537852"
México,Colima,Colima,"19.2414756,-103.7299413"
México,Ciudad de México,Ciudad de México,"19.4326043,-99.1354679"
México,Durango,Durango,"24.02428,-104.670224"
México,Guanajuato,Guanajuato,"21.0251051,-101.2753898"
México,Guerrero,Chilpancingo,"17.526529,-99.487038"
México,Hidalgo,Pachuca,"20.12664,-98.73212"
México,Jalisco,Guadalajara,"20.686613,-103.350787"
México,Estado de México,Toluca,"19.292102,-99.657016"
México,Michoacán de Ocampo,Morelia,"19.702678,-101.193223"
México,Morelos,Cuernavaca,"18.9209085,-99.2368127"
México,Nayarit,Tepic,"21.50728,-104.893448"
México,Nuevo León,Monterrey,"25.6728591,-100.3095786"
México,Oaxaca,Oaxaca,"17.0658256,-96.7236039"
México,Puebla,Puebla,"19.043234,-98.199202"
México,Querétaro de Arteaga,Querétaro de Arteaga,"20.5931694,-100.3897384"
México,Quintana Roo,Chetumal,"18.501408,-88.2962588"
México,San Luis Potosí,San Luis Potosí,"22.151378,-100.976222"
México,Sinaloa,Culiacán,"24.804644,-107.404928"
México,Sonora,Hermosillo,"29.0826226,-110.9563336"
México,Tabasco,Villahermosa,"17.987471,-92.919287"
México,Tamaulipas,Ciudad Victoria,"23.732306,-99.1534181"
México,Tlaxcala,Tlaxcala,"19.614727,-98.119197"
México,Veracruz de Ignacio de la Llave,Xalapa,"19.527597,-96.922813"
México,Yucatán,Mérida,"20.989269,-89.616981"
México,Zacatecas,Zacatecas,"22.776577,-102.57175"
